POSITION,TEAM,GAMES PLAYED,WIN,DRAW,LOSS,GOALS FOR,GOALS AGAINST,GOAL DIFFERENCE,POINTS,YEAR,HOST,CHAMPION,RUNNER UP,THIRD PLACE,TEAMS,MATCHES PLAYED,GOALS SCORED,AVG GOALS PER GAME
1,Uruguay,4,3,1,0,15,5,10,7,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
2,Brazil,6,4,1,1,22,6,16,9,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
3,Sweden,5,2,1,2,11,15,−4,5,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
4,Spain,6,3,1,2,10,12,−2,7,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
5,Yugoslavia,3,2,0,1,7,3,4,4,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
6,Switzerland,3,1,1,1,4,6,−2,3,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
7,Italy,2,1,0,1,4,3,1,2,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
8,England,3,1,0,2,2,2,0,2,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
9,Chile,3,1,0,2,5,6,−1,2,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
10,United States,3,1,0,2,4,8,−4,2,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
11,Paraguay,2,0,1,1,2,4,−2,1,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
12,Mexico,3,0,0,3,2,10,−8,0,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
13,Bolivia,1,0,0,1,0,8,−8,0,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
1,Argentina,7,5,1,1,15,4,11,11,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
2,Netherlands,7,3,2,2,15,10,5,8,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
3,Brazil,7,4,3,0,10,3,7,11,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
4,Italy,7,4,1,2,9,6,3,9,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
5,Poland,6,3,1,2,6,6,0,7,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
6,West Germany,6,1,4,1,10,5,5,6,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
7,Austria,6,3,0,3,7,10,−3,6,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
8,Peru,6,2,1,3,7,12,−5,5,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
9,Tunisia,3,1,1,1,3,2,1,3,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
10,Spain,3,1,1,1,2,2,0,3,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
11,Scotland,3,1,1,1,5,6,−1,3,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
12,France,3,1,0,2,5,5,0,2,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
13,Sweden,3,0,1,2,1,3,−2,1,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
14,Iran,3,0,1,2,2,8,−6,1,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
15,Hungary,3,0,0,3,3,8,−5,0,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
16,Mexico,3,0,0,3,2,12,−10,0,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
1,Argentina,7,6,1,0,14,5,9,13,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
2,West Germany,7,3,2,2,8,7,1,8,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
3,France,7,4,2,1,12,6,6,10,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
4,Belgium,7,2,2,3,12,15,−3,6,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
5,Brazil,5,4,1,0,10,1,9,9,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
6,Mexico,5,3,2,0,6,2,4,8,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
7,Spain,5,3,1,1,11,4,7,7,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
8,England,5,2,1,2,7,3,4,5,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
9,Denmark,4,3,0,1,10,6,4,6,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
10,Soviet Union,4,2,1,1,12,5,7,5,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
11,Morocco,4,1,2,1,3,2,1,4,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
12,Italy,4,1,2,1,5,6,−1,4,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
13,Paraguay,4,1,2,1,4,6,−2,4,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
14,Poland,4,1,1,2,1,7,−6,3,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
15,Bulgaria,4,0,2,2,2,6,−4,2,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
16,Uruguay,4,0,2,2,2,8,−6,2,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
17,Portugal,3,1,0,2,2,4,−2,2,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
18,Hungary,3,1,0,2,2,9,−7,2,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
19,Scotland,3,0,1,2,1,3,−2,1,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
20,South Korea,3,0,1,2,4,7,−3,1,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
21,Northern Ireland,3,0,1,2,2,6,−4,1,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
22,Algeria,3,0,1,2,1,5,−4,1,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
23,Iraq,3,0,0,3,1,4,−3,0,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
24,Canada,3,0,0,3,0,5,−5,0,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
1,West Germany,7,5,2,0,15,5,10,12,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
2,Argentina,7,2,3,2,5,4,1,7,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
3,Italy,7,6,1,0,10,2,8,13,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
4,England,7,3,3,1,8,6,2,9,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
5,Yugoslavia,5,3,1,1,8,6,2,7,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
6,Czechoslovakia,5,3,0,2,10,5,5,6,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
7,Cameroon,5,3,0,2,7,9,−2,6,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
8,Republic of Ireland,5,0,4,1,2,3,−1,4,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
9,Brazil,4,3,0,1,4,2,2,6,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
10,Spain,4,2,1,1,6,4,2,5,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
11,Belgium,4,2,0,2,6,4,2,4,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
12,Romania,4,1,2,1,4,3,1,4,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
13,Costa Rica,4,2,0,2,4,6,−2,4,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
14,Colombia,4,1,1,2,4,4,0,3,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
15,Netherlands,4,0,3,1,3,4,−1,3,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
16,Uruguay,4,1,1,2,2,5,−3,3,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
17,Soviet Union,3,1,0,2,4,4,0,2,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
18,Austria,3,1,0,2,2,3,−1,2,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
18,Scotland,3,1,0,2,2,3,−1,2,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
20,Egypt,3,0,2,1,1,2,−1,2,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
21,Sweden,3,0,0,3,3,6,−3,0,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
22,South Korea,3,0,0,3,1,6,−5,0,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
